name,type,across.mean,across.SD,across.var,within.var,prop,error.SD
id,id,NA,NA,NA,NA,NA,NA
d1,normal.drug,0.4,,,NA,NA,NA
d2,normal.drug,0.15,,,NA,NA,NA
d3,normal.drug,0.2,,,NA,NA,NA
age,normal.other,46,10.12,,1.00E-27,NA,NA
bmi,time.function,25,4.2,,1.00E-27,NA,1.5
bmi_slope,normal.other,0,0.015,,,NA,NA
ever_d1,bin.drug,NA,NA,NA,NA,0.275,NA
ever_d2,bin.drug,NA,NA,NA,NA,0.222,NA
ever_d3,bin.drug,NA,NA,NA,NA,0.198,NA
male,bin.other,NA,NA,NA,NA,0.97,NA
white,cat.static,NA,NA,NA,NA,NA,NA
black,cat.static,NA,NA,NA,NA,NA,NA
other,cat.static,NA,NA,NA,NA,NA,NA